""	"Indicator.Name"
"SH.HIV.ARTC.FE.ZS"	"Access to anti-retroviral drugs, female (%)"
"SH.HIV.ARTC.MA.ZS"	"Access to anti-retroviral drugs, male (%)"
"FX.OWN.TOTL.FE.ZS"	"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)"
"FX.OWN.TOTL.MA.ZS"	"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)"
"SE.PRM.TENR.FE"	"Adjusted net enrollment rate, primary, female (% of primary school age children)"
"SE.PRM.TENR.MA"	"Adjusted net enrollment rate, primary, male (% of primary school age children)"
"SP.ADO.TFRT"	"Adolescent fertility rate (births per 1,000 women ages 15-19)"
"SP.DYN.SMAM.FE"	"Age at first marriage, female"
"SP.DYN.SMAM.MA"	"Age at first marriage, male"
"SP.POP.DPND"	"Age dependency ratio (% of working-age population)"
"SP.POP.AG00.FE.IN"	"Age population, age 0, female, interpolated"
"SP.POP.AG00.MA.IN"	"Age population, age 0, male, interpolated"
"SP.POP.AG01.FE.IN"	"Age population, age 01, female, interpolated"
"SP.POP.AG01.MA.IN"	"Age population, age 01, male, interpolated"
"SP.POP.AG02.FE.IN"	"Age population, age 02, female, interpolated"
"SP.POP.AG02.MA.IN"	"Age population, age 02, male, interpolated"
"SP.POP.AG03.FE.IN"	"Age population, age 03, female, interpolated"
"SP.POP.AG03.MA.IN"	"Age population, age 03, male, interpolated"
"SP.POP.AG04.FE.IN"	"Age population, age 04, female, interpolated"
"SP.POP.AG04.MA.IN"	"Age population, age 04, male, interpolated"
"SP.POP.AG05.FE.IN"	"Age population, age 05, female, interpolated"
"SP.POP.AG05.MA.IN"	"Age population, age 05, male, interpolated"
"SP.DYN.CBRT.IN"	"Birth rate, crude (per 1,000 people)"
"SH.STA.BRTC.ZS"	"Births attended by skilled health staff (% of total)"
"SH.DTH.COMM.1534.FE.ZS"	"Cause of death, by communicable diseases, ages 15-34, female (% of relevant age group)"
"SH.DTH.COMM.1534.MA.ZS"	"Cause of death, by communicable diseases, ages 15-34, male (% of relevant age group)"
"SH.DTH.COMM.3559.FE.ZS"	"Cause of death, by communicable diseases, ages 35-59, female (% of relevant age group)"
